DATE IS :2022-07-13
***********Booking Summary**************

BUs_Id id,Trans_id,Bus Sources,Bus Destination,Bus time, Bus fare,Bus ID,Bus Number,Date
100,Shivani,1055,Panvel,Nerul,08:45:00,225,112,MH26RE3621,2022-07-13
110,Shivani,1050,Panvel,Powai,04:30:00,315,113,MH3150,2022-07-13
111,Shivani,1051,Panvel,Powai,04:30:00,315,104,MH201037,2022-07-13
112,Shivani,1052,Panvel,Powai,04:30:00,315,103,MH42AQ3321,2022-07-13
113,Shivani,1053,Panvel,Powai,05:30:00,315,103,MH42AQ3321,2022-07-13
114,Shivani,1054,Panvel,Powai,04:30:00,315,113,MH38BI3891,2022-07-13



BOOKING COUNT IS :6
